1,540,17,290,32
2,99,10,920,854
3,474,8,447,346
4,392,2,276,134
5,912,15,146,79
6,572,15,438,357
7,68,2,410,241
8,635,15,816,296
9,103,3,1008,29
10,3,17,840,316
11,234,3,152,42
12,178,19,887,46
13,35,11,677,207
14,707,6,165,136
15,967,15,150,114
16,623,9,224,180
17,551,18,1014,725
18,462,2,275,89
19,125,7,341,205
20,725,15,289,263
21,613,14,353,259
22,295,2,377,24
23,246,9,666,409
24,7,8,936,829
25,248,2,255,138
26,825,17,629,296
27,774,3,579,24
28,446,2,901,638
29,27,12,764,276
30,486,5,525,272
31,702,6,208,78
32,357,8,302,22
33,8,8,1031,9
34,776,14,784,638
35,657,0,918,698
36,367,3,373,7
37,984,6,1008,800
38,435,8,437,119
39,858,5,724,254
40,542,0,693,234
41,32,7,996,599
42,567,0,793,453
43,67,0,873,523
44,933,8,465,230
45,121,15,706,450
46,825,2,797,335
47,399,7,603,9
48,694,14,794,239
49,214,19,744,119
50,810,0,797,562
51,640,2,569,268
52,124,15,355,14
53,89,11,565,193
54,285,13,489,144
55,552,18,313,190
56,705,0,791,534
57,589,0,627,403
58,205,18,759,552
59,690,14,986,252
60,496,17,432,193
61,548,7,222,87
62,172,3,653,43
63,233,9,594,276
64,963,6,802,60
65,442,11,559,349
66,308,9,731,402
67,408,13,487,81
68,357,9,497,120
69,775,1,585,182
70,8,13,142,37
71,919,0,181,53
72,728,14,341,65
73,864,11,786,222
74,866,3,581,245
75,779,2,637,357
76,567,17,161,15
77,990,0,617,366
78,182,3,391,171
79,629,0,819,112
80,692,2,422,50
81,19,4,260,35
82,213,6,897,433
83,393,9,704,418
84,897,11,608,202
85,707,17,275,26
86,890,5,803,599
87,456,11,571,50
88,234,4,720,29
89,512,3,219,20
90,95,19,260,17
91,677,15,451,147
92,1,12,150,10
93,292,14,715,203
94,856,10,976,260
95,387,15,375,144
96,512,13,991,749
97,162,18,457,286
98,214,18,840,315
99,236,6,507,153
100,65,12,187,32
